budget,description,finishDays,project_tags,publishedDate,title
250000,menulis 1 artikel review mengenai apartemen di mana anda tinggal dan membuat 1 video singkat berisi fasilitas-fasilitas apartemennya.,7,Writing,23/04/2023 20:27:17 WIB,Penulis Yang Tinggal Di Apartemen Jakarta
350000,pekerjaan  membuat artikel di salah satu media ternama menggunakan referensi materi dari kami hingga  terposting / dipublish   di media tersebut memposting di  media online / blog  ternama hingga terbit seperti liputan6 tribunnews detik cnn kompas aktual channelindonesia jabodetabek infowarganet livejournal dll membuat artikel berkualitas (bukan asal copy paste) total artikel : 1 banyak kata :  bebas (sesuai pedoman minimal standarisasi membuat 1 artikel) niche / tema / topik game online / dunia it deadline : 7 days lampirkan link artikel / portfolio yg telah kalian buat di media andalan kalian untuk menjadi bahan pertimbangan saya dalam memilih worker terima kasih projects...,7,"Blog,Blogspot,Content Management System (CMS),Copywriter,Content Writer",24/04/2023 17:27:08 WIB,Membuat Artikel Di Media Online
200000,"hi saya ada 12 video rata-rata 1 menit untuk di upload ke tiktok butuh freelancer untuk bisa bantu editing sebaik mungkin harapan hasil editingnya seperti akun berikut : https://www.tiktok.com/@fadiladitya_e https://www.tiktok.com/@felicia.tjiasaka/video/7223726230338538779?is_from_webapp=1&sender_device=pc&web_id=7221384834656093697 https://www.tiktok.com/@raymondchins/video/7234507981692488966?is_from_webapp=1&sender_device=pc&web_id=7221384834656093697 bebas mau pakai aplikasi apapun, yg penting hasil memuaskan silahkan atach hasil project video anda sebelumnya",7,"Social Media Marketing (SMM),Adobe Illustrator,Multimedia,Video Editing,Video Production,Adobe After Effects,Video Animation,Social Media",20/05/2023 21:50:31 WIB,Editing 12 Shortt Video Untuk Konten Tiktok
1000000,yang punya akun canva creator element atau canva creator template yang tidak terawat dan mau dijual biar saya rawat,7,"Design Arts,Graphic Design,Logo Design,Canva",03/05/2023 08:35:54 WIB,Cari Akun Canva Creator Element Atau Template
150000,sedang mencari jasa upload aplikasi ke app store,7,iPhone/iOS,20/05/2023 17:42:39 WIB,Cari Jasa Upload Aplikasi Ke App Store
200000,"silahkan disebutan pada bids apakah sudah pernah membuat tulisan bertemakan zodiak dan memiliki pemahaman maupun ketertarikan dalam membahas zodiak sebagai kelebihan dari penulis.  saya membutuhkan tulisan zodaik sebanyak 10 tulisan sebanyak 400 kata tulisan santai serta mudah dibaca dan dimengerti. tidak menerima copas atau spin, jika ketawan project dibatalkan, wajib unique 100%. budget rp200.000 waktu pengerjaan 10-14 hari. contohnya: zodiac aries hari ini aries lagi kurang percaya diri...",10,Writing,20/05/2023 17:42:30 WIB,Saya Membutuhkan Penulis Untuk Artikel Zodiac
150000,saya membutuhkan jasa penyebaran responden dengan target 30 responden . kriterianya pernah menggunakan e-filing dan berdomisili di sleman (diy) . kriteria lebih lanjut bisa lihat di gambar terlampir. saya menggunakan survey monkey sebagai media kuesioner. mohon cari responden asli karena akan saya cek. terima kasih.,3,"Data Entry,Quesioner,Responden",20/05/2023 16:34:01 WIB,Penyebaran Kuesioner Sleman
250000,"halo worker, saya butuh bantuan untuk bbrp hal: 1. proses upload gambar 2. halaman mapping benefit dengan level membership misal level bronze ada benefit extra coin, etc 3. butuh dibuatkan push notif saat update status order.  push notif ke firebase ya karena akan digunakan untuk pn ke mobile app. saat ini bahasa yg digunakan php pdo  pengerjaan remote menggunakan team viewer. detail push notif akan saya infokan. mohon tanyakan jika ada yg kurang jelas",7,"PHP,CodeIgniter",20/05/2023 16:33:49 WIB,Dicari Yg Bisa Bantu Di Php
2000000,"dicari untuk dibeli, akun adsense tahun 2013 - 2015 untuk website, sudah pin, pin + po. tulis spek: ✅ adsense untuk blog/website ✅ email utama ✅ iklan tayang 100% ✅ infokan sudah po/pin berapa kali ✅ apakah ada domain yg terhubung mohon kirimkan screenshot adsense yg berhubungan dengan spek di atas. terimakasih",70,"Web Programming,Website,Blog,Blogspot,Wordpress,Web Design,Wordpress Templates,Google Adsense,Google Adwords,Google Admob",19/05/2023 13:36:07 WIB,Dibeli Akun Adsense Tahun 2013 - 2015 Untuk Website
750000,"saya membutuhkan game dengan unity sederhana hanya game pembelajaran perhitungan tambah, pengurangan, pembagian, dan perkalian, saya sudah memiliki assetnya",5,Unity,20/05/2023 13:16:28 WIB,Butuh Game Unity
